Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2028,Arkansas,29685345.389452934,688540.910251528,258268802.0912261,1300.9093068559937
2029,Arkansas,30067697.598120928,591610.1751022637,260134527.95878172,1326.2719776940994
2030,Arkansas,30450049.80678892,494679.43995299935,262000253.82633734,1351.6346485322056
2031,Arkansas,30832402.015456915,397748.704803735,263865979.69389296,1376.997319370312
2032,Arkansas,31214754.22412491,300817.9696544707,265731705.56144905,1402.3599902084184
2033,Arkansas,31597106.432792902,203887.23450520635,267597431.42900467,1427.7226610465245
2034,Arkansas,31979458.641460896,106956.49935594201,269463157.2965603,1453.0853318846302
2035,Arkansas,32361810.85012877,10025.764206677675,271328883.1641159,1478.4480027227323
2036,Arkansas,32744163.058796763,-86904.97094258666,273194609.0316715,1503.8106735608385
2037,Arkansas,33126515.267464757,-183835.706091851,275060334.89922714,1529.1733443989447
2038,Arkansas,33508867.47613275,-280766.44124111533,276926060.76678324,1554.5360152370506
2039,Arkansas,33891219.684800744,-377697.17639037967,278791786.63433886,1579.8986860751568
2040,Arkansas,34273571.89346874,-474627.911539644,280657512.5018945,1605.261356913263
2020,California,850907959.103653,42888974.38286102,6369166892.710999,2198.673231219611
2021,California,872768682.338234,43401800.10459912,6517286702.53064,2249.4340016989445
2022,California,894629405.572815,43914625.82633734,6665406512.350342,2300.1947721782744
2023,California,916490128.8073959,44427451.54807544,6813526322.169983,2350.9555426576044
2024,California,938350852.0419769,44940277.26981366,6961646131.989685,2401.716313136938
2025,California,960211575.2765579,45453102.99155176,7109765941.809326,2452.477083616268
2026,California,982072298.5111389,45965928.71328986,7257885751.629028,2503.2378540955997
2027,California,1003933021.7457199,46478754.435028076,7406005561.448669,2553.9986245749296
2028,California,1025793744.9803009,46991580.156766176,7554125371.268372,2604.7593950542614
2029,California,1047654468.2148819,47504405.87850428,7702245181.088013,2655.520165533593
2030,California,1069515191.4494629,48017231.600242496,7850364990.907715,2706.280936012923
2031,California,1091375914.684044,48530057.321980596,7998484800.727356,2757.0417064922567
2032,California,1113236637.9186249,49042883.043718696,8146604610.547058,2807.802476971585
2033,California,1135097361.1532059,49555708.765456915,8294724420.366699,2858.5632474509166
2034,California,1156958084.3877869,50068534.487195015,8442844230.18634,2909.32401793025
2035,California,1178818807.6223679,50581360.208933115,8590964040.006042,2960.08478840958
2036,California,1200679530.8569489,51094185.930671334,8739083849.825684,3010.84555888891
2037,California,1222540254.0915298,51607011.652409434,8887203659.645386,3061.606329368242
2038,California,1244400977.3261108,52119837.374147534,9035323469.465027,3112.3670998475736
2039,California,1266261700.5606918,52632663.09588575,9183443279.284729,3163.1278703269054
2040,California,1288122423.7952728,53145488.81762385,9331563089.10437,3213.8886408062353
2020,Colorado,77741239.43021679,5824615.949802995,786929849.219574,1456.8042642703513
2021,Colorado,79742149.71965456,5904480.073041379,805628981.663887,1488.0781058317734
2022,Colorado,81743060.00909233,5984344.196279734,824328114.1081924,1519.3519473932174
2023,Colorado,83743970.2985301,6064208.319518119,843027246.5525055,1550.6257889546323
2024,Colorado,85744880.58796787,6144072.442756474,861726378.9968109,1581.8996305160617
2025,Colorado,87745790.87740564,6223936.565994859,880425511.441124,1613.1734720775057
2026,Colorado,89746701.16684341,6303800.689233214,899124643.885437,1644.4473136389352
2027,Colorado,91747611.45628119,6383664.812471598,917823776.3297424,1675.7211552003573
2028,Colorado,93748521.74571896,6463528.935709953,936522908.7740555,1706.994996761794
2029,Colorado,95749432.03515673,6543393.058948338,955222041.2183609,1738.2688383232162
2030,Colorado,97750342.3245945,6623257.182186693,973921173.662674,1769.5426798846456
2031,Colorado,99751252.61403227,6703121.305425078,992620306.1069794,1800.8165214460823
2032,Colorado,101752162.90347004,6782985.428663433,1011319438.5512924,1832.090363007519
2033,Colorado,103753073.19290781,6862849.551901817,1030018570.9956055,1863.3642045689412
2034,Colorado,105753983.48234558,6942713.675140172,1048717703.4399109,1894.6380461303706
2035,Colorado,107754893.77178335,7022577.798378557,1067416835.8842239,1925.9118876918
2036,Colorado,109755804.06122112,7102441.921616912,1086115968.3285294,1957.1857292532295
2037,Colorado,111756714.3506589,7182306.044855297,1104815100.7728424,1988.459570814659
2038,Colorado,113757624.64009714,7262170.1680936515,1123514233.2171478,2019.7334123761102
2039,Colorado,115758534.92953491,7342034.291332036,1142213365.6614609,2051.007253937525
2040,Colorado,117759445.21897268,7421898.414570391,1160912498.1057663,2082.2810954989545
2020,Connecticut,56772511.89195347,3862710.1610092446,814650738.7482986,1568.7621809482475
2021,Connecticut,58103517.75268984,3890259.5911880583,832151094.8628616,1603.2698532586783
2022,Connecticut,59434523.61342621,3917809.021366872,849651450.9774246,1637.777525569109
2023,Connecticut,60765529.474163055,3945358.451545693,867151807.0919876,1672.2851978795516
2024,Connecticut,62096535.334899426,3972907.8817245066,884652163.2065506,1706.7928701899823
2025,Connecticut,63427541.195635796,4000457.3119033203,902152519.3211136,1741.3005425004126
2026,Connecticut,64758547.056372166,4028006.742082134,919652875.4356766,1775.8082148108433
2027,Connecticut,66089552.917108536,4055556.1722609475,937153231.5502319,1810.315887121274
2028,Connecticut,67420558.77784538,4083105.602439761,954653587.6647949,1844.823559431717
2029,Connecticut,68751564.63858175,4110655.0326185822,972153943.7793579,1879.3312317421473
2030,Connecticut,70082570.49931812,4138204.462797396,989654299.8939209,1913.8389040525776
2031,Connecticut,71413576.3600545,4165753.8929762095,1007154656.0084839,1948.3465763630088
2032,Connecticut,72744582.22079086,4193303.323155023,1024655012.1230469,1982.854248673439
2033,Connecticut,74075588.08152771,4220852.753333837,1042155368.2376099,2017.3619209838826
2034,Connecticut,75406593.94226408,4248402.183512658,1059655724.3521729,2051.869593294313
2035,Connecticut,76737599.80300045,4275951.6136914715,1077156080.4667358,2086.377265604743
2036,Connecticut,78068605.66373682,4303501.043870285,1094656436.5812988,2120.8849379151734
2037,Connecticut,79399611.52447367,4331050.474049099,1112156792.6958618,2155.3926102256164
2038,Connecticut,80730617.38521004,4358599.904227912,1129657148.8104248,2189.900282536047
2039,Connecticut,82061623.2459464,4386149.334406726,1147157504.9249878,2224.4079548464774
2040,Connecticut,83392629.10668278,4413698.764585547,1164657861.0395508,2258.9156271569077
2020,Delaware,15501262.263221622,1001357.1103197448,132200841.03652096,1655.9253421920512
2021,Delaware,15887953.174723387,1012331.0968328528,134959323.3823309,1691.6975415625384
2022,Delaware,16274644.086225152,1023305.0833459608,137717805.72814083,1727.4697409330292
2023,Delaware,16661334.997726917,1034279.0698590688,140476288.07395077,1763.2419403035128
2024,Delaware,17048025.909228683,1045253.0563721769,143234770.4197607,1799.0141396740073
2025,Delaware,17434716.82073033,1056227.0428852849,145993252.76557064,1834.78633904448
2026,Delaware,17821407.732232094,1067201.029398393,148751735.11138058,1870.5585384149636
2027,Delaware,18208098.64373386,1078175.015911501,151510217.4571905,1906.3307377854544
2028,Delaware,18594789.555235624,1089149.002424609,154268699.80300045,1942.1029371559416
2029,Delaware,18981480.46673739,1100122.988937717,157027182.1488104,1977.8751365264288
2030,Delaware,19368171.378239036,1111096.975450825,159785664.49462032,2013.6473358969051
2031,Delaware,19754862.2897408,1122070.961963933,162544146.84043026,2049.4195352673923
2032,Delaware,20141553.201242566,1133044.948477041,165302629.1862402,2085.191734637883
2033,Delaware,20528244.11274433,1144018.934990149,168061111.53205013,2120.963934008367
2034,Delaware,20914935.024246097,1154992.921503257,170819593.87786102,2156.7361333788576
2035,Delaware,21301625.935747743,1165966.908016365,173578076.22367096,2192.5083327493303
2036,Delaware,21688316.847249508,1176940.894529473,176336558.5694809,2228.2805321198175
2037,Delaware,22075007.758751273,1187914.881042581,179095040.91529083,2264.0527314903084
2038,Delaware,22461698.67025304,1198888.867555689,181853523.26110077,2299.824930860792
2039,Delaware,22848389.581754804,1209862.854068797,184612005.6069107,2335.597130231279
2040,Delaware,23235080.49325657,1220836.840581905,187370487.95272064,2371.3693296017664
2020,District of Columbia,20772404.90983486,-103471.21753296256,192459974.99621105,3607.4025703045063
2021,District of Columbia,21096794.968934655,-155449.49931807816,195674655.25079536,3676.209409612049
2022,District of Columbia,21421185.028034568,-207427.78110319376,198889335.50537968,3745.01624891961
2023,District of Columbia,21745575.08713436,-259406.06288830936,202104015.75996304,3813.823088227151
2024,District of Columbia,22069965.146234274,-311384.34467343986,205318696.01454735,3882.629927534719
2025,District of Columbia,22394355.205334067,-363362.62645855546,208533376.26913166,3951.436766842262
2026,District of Columbia,22718745.26443398,-415340.90824367106,211748056.52371597,4020.243606149821
2027,District of Columbia,23043135.323533893,-467319.19002878666,214962736.77829933,4089.05044545738
2028,District of Columbia,23367525.382633686,-519297.47181391716,218177417.03288364,4157.85728476493
2029,District of Columbia,23691915.4417336,-571275.7535990328,221392097.28746796,4226.664124072489
2030,District of Columbia,24016305.500833392,-623254.0353841484,224606777.54205132,4295.47096338003
2031,District of Columbia,24340695.559933305,-675232.317169264,227821457.79663563,4364.277802687593
2032,District of Columbia,24665085.619033217,-727210.5989543796,231036138.05121994,4433.084641995152
2033,District of Columbia,24989475.67813301,-779188.8807395101,234250818.3058033,4501.8914813027
2034,District of Columbia,25313865.737232924,-831167.1625246257,237465498.5603876,4570.698320610261
2035,District of Columbia,25638255.796332717,-883145.4443097413,240680178.81497192,4639.5051599178005
2036,District of Columbia,25962645.85543263,-935123.7260948569,243894859.06955624,4708.311999225363
2037,District of Columbia,26287035.914532542,-987102.0078799874,247109539.3241396,4777.1188385329315
2038,District of Columbia,26611425.973632336,-1039080.289665103,250324219.5787239,4845.925677840472
2039,District of Columbia,26935816.03273225,-1091058.5714502186,253538899.83330822,4914.732517148033
2040,District of Columbia,27260206.09183204,-1143036.8532353342,256753580.08789158,4983.539356455574
2020,Florida,301308236.0963783,22589017.17195785,2615043904.3794403,1507.8652729837704
2021,Florida,309084770.41975975,22940817.91638887,2676198530.080307,1540.2858071746596
2022,Florida,316861304.7431431,23292618.660819888,2737353155.7811737,1572.7063413655596
2023,Florida,324637839.0665245,23644419.405250788,2798507781.4820404,1605.1268755564452
2024,Florida,332414373.38990784,23996220.149681807,2859662407.182907,1637.5474097473452
2025,Florida,340190907.71328926,24348020.894112825,2920817032.8837585,1669.9679439382307
2026,Florida,347967442.0366726,24699821.638543725,2981971658.5846252,1702.3884781291272
2027,Florida,355743976.360054,25051622.382974744,3043126284.285492,1734.8090123200163
2028,Florida,363520510.68343735,25403423.127405643,3104280909.9863586,1767.2295465109164
2029,Florida,371297045.0068188,25755223.871836662,3165435535.6872253,1799.650080701802
2030,Florida,379073579.3302002,26107024.61626768,3226590161.388077,1832.070614892691
2031,Florida,386850113.6535835,26458825.36069858,3287744787.0889435,1864.4911490835912
2032,Florida,394626647.97696495,26810626.1051296,3348899412.78981,1896.9116832744767
2033,Florida,402403182.3003483,27162426.84956062,3410054038.490677,1929.3322174653767
2034,Florida,410179716.6237297,27514227.593991518,3471208664.1915436,1961.752751656266
2035,Florida,417956250.94711304,27866028.338422537,3532363289.8924103,1994.173285847166
2036,Florida,425732785.27049446,28217829.082853436,3593517915.5932617,2026.5938200380515
2037,Florida,433509319.5938778,28569629.827284455,3654672541.2941284,2059.014354228948
2038,Florida,441285853.9172592,28921430.571715474,3715827166.994995,2091.434888419837
2039,Florida,449062388.24064255,29273231.316146374,3776981792.695862,2123.8554226107335
2040,Florida,456838922.564024,29625032.060577393,3838136418.3967285,2156.2759568016227
2020,Hawaii,21226462.34277928,1484456.6799893938,208011103.95514488,1514.6775975490204
2021,Hawaii,21748192.908016443,1497136.5347022265,212459918.16942024,1548.3810924402133
2022,Hawaii,22269923.473253608,1509816.389415063,216908732.3836937,1582.0845873314047
2023,Hawaii,22791654.038490772,1522496.2441278994,221357546.59796906,1615.788082222597
2024,Hawaii,23313384.603727937,1535176.0988407359,225806360.81224442,1649.4915771137894
2025,Hawaii,23835115.168964982,1547855.9535535686,230255175.02651978,1683.1950720049736
2026,Hawaii,24356845.734202147,1560535.808266405,234703989.24079323,1716.898566896166
2027,Hawaii,24878576.29943931,1573215.6629792415,239152803.4550686,1750.6020617873578
2028,Hawaii,25400306.864676476,1585895.5176920742,243601617.66934395,1784.3055566785506
2029,Hawaii,25922037.42991364,1598575.3724049106,248050431.8836193,1818.0090515697425
2030,Hawaii,26443767.995150805,1611255.227117747,252499246.09789276,1851.7125464609353
2031,Hawaii,26965498.56038797,1623935.0818305798,256948060.31216812,1885.416041352128
2032,Hawaii,27487229.125625134,1636614.9365434162,261396874.52644348,1919.11953624332
2033,Hawaii,28008959.690862298,1649294.7912562527,265845688.74071884,1952.8230311345123
2034,Hawaii,28530690.256099463,1661974.6459690854,270294502.9549923,1986.5265260257052
2035,Hawaii,29052420.821336627,1674654.5006819218,274743317.16926765,2020.2300209168975
2036,Hawaii,29574151.38657379,1687334.3553947583,279192131.383543,2053.93351580809
2037,Hawaii,30095881.951810956,1700014.210107591,283640945.5978184,2087.637010699282
2038,Hawaii,30617612.51704812,1712694.0648204274,288089759.8120918,2121.3405055904745
2039,Hawaii,31139343.082285285,1725373.919533264,292538574.0263672,2155.0440004816664
2040,Hawaii,31661073.64752233,1738053.7742461003,296987388.24064255,2188.7474953728506
2020,Idaho,17139600.697075248,1038805.3507728502,139253644.49158955,1175.9487406006156
2021,Idaho,17488433.853614092,1008406.8288377076,140948734.65676594,1201.925080713867
2022,Idaho,17837267.010152936,978008.3069025651,142643824.8219428,1227.901420827111
2023,Idaho,18186100.1666919,947609.7849674225,144338914.9871192,1253.8777609403624
2024,Idaho,18534933.323230743,917211.2630322799,146034005.1522956,1279.8541010536137
2025,Idaho,18883766.479769588,886812.7410971373,147729095.31747246,1305.8304411668578
2026,Idaho,19232599.63630843,856414.2191619948,149424185.48264885,1331.8067812801055
2027,Idaho,19581432.792847395,826015.6972268522,151119275.64782524,1357.7831213933532
2028,Idaho,19930265.94938624,795617.175291717,152814365.8130021,1383.7594615066046
2029,Idaho,20279099.105925083,765218.6533565745,154509455.9781785,1409.735801619856
2030,Idaho,20627932.262463927,734820.1314214319,156204546.1433549,1435.7121417330964
2031,Idaho,20976765.41900277,704421.6094862893,157899636.30853176,1461.688481846344
2032,Idaho,21325598.575541735,674023.0875511467,159594726.47370815,1487.664821959599
2033,Idaho,21674431.73208058,643624.5656160042,161289816.63888454,1513.6411620728431
2034,Idaho,22023264.888619423,613226.0436808616,162984906.8040614,1539.6175021860909
2035,Idaho,22372098.045158267,582827.521745719,164679996.9692378,1565.5938422993422
2036,Idaho,22720931.20169711,552428.9998105839,166375087.1344142,1591.5701824125863
2037,Idaho,23069764.358236074,522030.4778754413,168070177.29959106,1617.5465225258413
2038,Idaho,23418597.51477492,491631.95594029874,169765267.46476746,1643.5228626390854
2039,Idaho,23767430.671313763,461233.43400515616,171460357.62994385,1669.499202752333
2040,Idaho,24116263.827852607,430834.9120700136,173155447.79512024,1695.4755428655808
2020,Illinois,196040066.67676926,13721887.264055163,2062077004.0915222,1512.8139579053454
2021,Illinois,200667585.99787712,13808827.769548416,2105322329.1407776,1546.647755016117
2022,Illinois,205295105.3189869,13895768.27504167,2148567654.1900177,1580.4815521269027
2023,Illinois,209922624.64009666,13982708.780534923,2191812979.239273,1614.3153492376882
2024,Illinois,214550143.96120453,14069649.286028206,2235058304.2885284,1648.1491463484595
2025,Illinois,219177663.2823143,14156589.79152146,2278303629.3377686,1681.9829434592455
2026,Illinois,223805182.60342407,14243530.297014713,2321548954.387024,1715.8167405700312
2027,Illinois,228432701.92453384,14330470.802507967,2364794279.4362793,1749.650537680817
2028,Illinois,233060221.2456417,14417411.30800122,2408039604.4855194,1783.484334791588
2029,Illinois,237687740.56675148,14504351.813494474,2451284929.534775,1817.3181319023738
2030,Illinois,242315259.88786125,14591292.318987727,2494530254.584015,1851.15192901316
2031,Illinois,246942779.20897102,14678232.82448098,2537775579.6332703,1884.9857261239458
2032,Illinois,251570298.5300789,14765173.329974234,2581020904.6825256,1918.819523234717
2033,Illinois,256197817.85118866,14852113.835467488,2624266229.7317657,1952.6533203455028
2034,Illinois,260825337.17229843,14939054.34096077,2667511554.781021,1986.4871174562884
2035,Illinois,265452856.4934063,15025994.846454024,2710756879.8302765,2020.3209145670598
2036,Illinois,270080375.81451607,15112935.351947278,2754002204.8795166,2054.1547116778456
2037,Illinois,274707895.13562584,15199875.857440531,2797247529.928772,2087.9885087886314
2038,Illinois,279335414.4567356,15286816.362933785,2840492854.9780273,2121.822305899417
2039,Illinois,283962933.7778435,15373756.868427038,2883738180.0272675,2155.6561030101884
2040,Illinois,288590453.09895325,15460697.373920292,2926983505.076523,2189.4899001209747
2020,Indiana,73121685.10380363,7050532.345696315,771353583.8763428,1105.5221208558905
2021,Indiana,74919446.12820101,7105884.364903778,786757747.3859673,1130.7380403600073
2022,Indiana,76717207.15259886,7161236.384111226,802161910.8955879,1155.953959864134
2023,Indiana,78514968.17699623,7216588.403318688,817566074.4052124,1181.1698793682508
2024,Indiana,80312729.20139408,7271940.422526136,832970237.9148331,1206.3857988723767
2025,Indiana,82110490.22579145,7327292.441733599,848374401.4244576,1231.6017183764934
2026,Indiana,83908251.2501893,7382644.4609410465,863778564.9340782,1256.8176378806183
2027,Indiana,85706012.27458668,7437996.480148509,879182728.4437027,1282.033557384735
2028,Indiana,87503773.29898453,7493348.499355957,894586891.9533272,1307.249476888861
2029,Indiana,89301534.32338238,7548700.51856342,909991055.4629478,1332.4653963929868
2030,Indiana,91099295.34777975,7604052.537770867,925395218.9725723,1357.6813158971036
2031,Indiana,92897056.3721776,7659404.55697833,940799382.482193,1382.8972354012303
2032,Indiana,94694817.39657497,7714756.576185793,956203545.9918175,1408.113154905347
2033,Indiana,96492578.42097282,7770108.59539324,971607709.5014381,1433.329074409473
2034,Indiana,98290339.4453702,7825460.614600703,987011873.0110626,1458.5449939135888
2035,Indiana,100088100.46976805,7880812.633808151,1002416036.5206833,1483.7609134177146
2036,Indiana,101885861.49416542,7936164.653015614,1017820200.0303078,1508.9768329218314
2037,Indiana,103683622.51856327,7991516.672223061,1033224363.5399284,1534.1927524259581
2038,Indiana,105481383.54296064,8046868.691430524,1048628527.0495529,1559.4086719300758
2039,Indiana,107279144.5673585,8102220.710637972,1064032690.5591736,1584.6245914342016
2040,Indiana,109076905.59175634,8157572.729845434,1079436854.068798,1609.8405109383266
2020,Iowa,32497564.024852276,3188402.9562433697,397668320.9577198,1049.867550236505
2021,Iowa,33201261.55478096,3202371.6466888934,405907152.59887886,1071.2248466783294
2022,Iowa,33904959.08470988,3216340.337134417,414145984.240036,1092.582143120163
2023,Iowa,34608656.61463857,3230309.027579937,422384815.88119316,1113.9394395619893
2024,Iowa,35312354.14456749,3244277.718025461,430623647.5223503,1135.2967360038228
2025,Iowa,36016051.674496174,3258246.408470981,438862479.16350937,1156.6540324456473
2026,Iowa,36719749.20442486,3272215.0989165045,447101310.8046665,1178.0113288874718
2027,Iowa,37423446.73435378,3286183.7893620245,455340142.44582367,1199.3686253293054
2028,Iowa,38127144.264282465,3300152.479807548,463578974.0869827,1220.7259217711307
2029,Iowa,38830841.79421139,3314121.170253068,471817805.7281399,1242.0832182129634
2030,Iowa,39534539.32414007,3328089.860698592,480056637.369297,1263.4405146547879
2031,Iowa,40238236.854068756,3342058.5511441156,488295469.0104561,1284.7978110966123
2032,Iowa,40941934.38399768,3356027.2415896356,496534300.65161324,1306.1551075384468
2033,Iowa,41645631.91392636,3369995.9320351593,504773132.2927704,1327.5124039802704
2034,Iowa,42349329.443855286,3383964.6224806793,513011963.93392944,1348.8697004221049
2035,Iowa,43053026.97378397,3397933.312926203,521250795.5750866,1370.2269968639284
2036,Iowa,43756724.503712654,3411902.003371723,529489627.21624374,1391.5842933057547
2037,Iowa,44460422.03364158,3425870.6938172467,537728458.8574028,1412.9415897475874
2038,Iowa,45164119.56357026,3439839.3842627667,545967290.49856,1434.2988861894119
2039,Iowa,45867817.093498945,3453808.0747082904,554206122.1397171,1455.6561826312382
2040,Iowa,46571514.62342787,3467776.765153814,562444953.7808743,1477.0134790730717
2020,Kansas,33337153.35656905,2909014.7952720113,386479887.1041069,1159.4025988772692
2021,Kansas,34105447.79512048,2918922.0029928796,394426473.7081375,1184.6771800245242
2022,Kansas,34873742.233671665,2928829.210713744,402373060.3121681,1209.9517611717692
2023,Kansas,35642036.67222309,2938736.4184346125,410319646.91619873,1235.2263423190243
2024,Kansas,36410331.11077428,2948643.6261554807,418266233.52022934,1260.5009234662693
2025,Kansas,37178625.549325705,2958550.8338763453,426212820.12425995,1285.7755046135235
2026,Kansas,37946919.98787689,2968458.0415972136,434159406.72829056,1311.0500857607694
2027,Kansas,38715214.42642808,2978365.249318078,442105993.3323231,1336.3246669080154
2028,Kansas,39483508.864979506,2988272.4570389464,450052579.9363537,1361.5992480552695
2029,Kansas,40251803.30353069,2998179.6647598147,457999166.5403843,1386.8738292025155
2030,Kansas,41020097.74208212,3008086.8724806793,465945753.1444149,1412.1484103497696
2031,Kansas,41788392.18063331,3017994.0802015476,473892339.7484455,1437.4229914970147
2032,Kansas,42556686.61918473,3027901.287922412,481838926.3524761,1462.6975726442706
2033,Kansas,43324981.05773592,3037808.4956432804,489785512.95650864,1487.9721537915157
2034,Kansas,44093275.496287346,3047715.7033641487,497732099.56053925,1513.2467349387707
2035,Kansas,44861569.93483853,3057622.9110850133,505678686.16456985,1538.5213160860158
2036,Kansas,45629864.37338996,3067530.1188058816,513625272.76860046,1563.79589723327
2037,Kansas,46398158.81194115,3077437.326526746,521571859.3726311,1589.0704783805159
2038,Kansas,47166453.250492334,3087344.5342476144,529518445.9766617,1614.345059527761
2039,Kansas,47934747.68904376,3097251.7419684827,537465032.5806942,1639.619640675016
2040,Kansas,48703042.12759495,3107158.9496893473,545411619.1847248,1664.894221822261
2020,Kentucky,49534535.53568745,4532363.554364301,463826235.0356102,1127.9440154944905
2021,Kentucky,50708747.53750563,4556395.401083499,473188240.6425209,1152.9852206951582
2022,Kentucky,51882959.53932428,4580427.247802697,482550246.2494316,1178.0264258958377
2023,Kentucky,53057171.54114246,4604459.094521895,491912251.8563423,1203.0676310965055
2024,Kentucky,54231383.54296112,4628490.9412411,501274257.463253,1228.108836297184
2025,Kentucky,55405595.54477978,4652522.787960298,510636263.0701599,1253.1500414978636
2026,Kentucky,56579807.54659796,4676554.634679496,519998268.6770706,1278.1912466985314
2027,Kentucky,57754019.548416615,4700586.481398702,529360274.2839813,1303.232451899211
2028,Kentucky,58928231.550234795,4724618.3281179,538722279.890892,1328.2736570998786
2029,Kentucky,60102443.55205345,4748650.1748370975,548084285.4978027,1353.3148623005582
2030,Kentucky,61276655.55387211,4772682.021556295,557446291.1047134,1378.3560675012372
2031,Kentucky,62450867.55569029,4796713.868275501,566808296.7116241,1403.397272701904
2032,Kentucky,63625079.557508945,4820745.714994699,576170302.318531,1428.4384779025836
2033,Kentucky,64799291.559327126,4844777.561713897,585532307.9254417,1453.4796831032509
2034,Kentucky,65973503.56114578,4868809.408433095,594894313.5323524,1478.5208883039309
2035,Kentucky,67147715.56296396,4892841.2551523,604256319.1392632,1503.5620935045972
2036,Kentucky,68321927.56478262,4916873.101871498,613618324.7461739,1528.6032987052772
2037,Kentucky,69496139.56660128,4940904.948590696,622980330.3530846,1553.6445039059568
2038,Kentucky,70670351.56841946,4964936.795309894,632342335.9599915,1578.685709106624
2039,Kentucky,71844563.57023811,4988968.642029099,641704341.5669022,1603.7269143073036
2040,Kentucky,73018775.5720563,5013000.488748297,651066347.1738129,1628.7681195079713
2020,Louisiana,79839483.25503874,4888626.464615852,534974761.3274727,1736.2748566345763
2021,Louisiana,81901208.51644182,4916962.042430669,546480800.1212273,1779.662497181238
2022,Louisiana,83962933.7778449,4945297.620245494,557986838.9149857,1823.0501377278997
2023,Louisiana,86024659.03924847,4973633.198060311,569492877.708744,1866.4377782745742
2024,Louisiana,88086384.30065155,5001968.775875129,580998916.5024986,1909.8254188212368
2025,Louisiana,90148109.56205463,5030304.353689954,592504955.296257,1953.2130593678994
2026,Louisiana,92209834.8234582,5058639.931504771,604010994.0900116,1996.600699914573
2027,Louisiana,94271560.08486128,5086975.509319596,615517032.88377,2039.9883404612356
2028,Louisiana,96333285.34626436,5115311.087134413,627023071.6775246,2083.3759810078964
2029,Louisiana,98395010.60766792,5143646.664949231,638529110.471283,2126.7636215545717
2030,Louisiana,100456735.869071,5171982.242764056,650035149.2650375,2170.1512621012334
2031,Louisiana,102518461.13047409,5200317.820578873,661541188.0587959,2213.538902647897
2032,Louisiana,104580186.39187765,5228653.398393698,673047226.8525505,2256.9265431945696
2033,Louisiana,106641911.65328074,5256988.976208515,684553265.6463089,2300.3141837412322
2034,Louisiana,108703636.91468382,5285324.554023333,696059304.4400635,2343.701824287895
2035,Louisiana,110765362.17608738,5313660.131838158,707565343.2338219,2387.0894648345693
2036,Louisiana,112827087.43749046,5341995.709652975,719071382.0275803,2430.47710538123
2037,Louisiana,114888812.69889355,5370331.2874678,730577420.8213348,2473.8647459278936
2038,Louisiana,116950537.96029711,5398666.8652826175,742083459.6150932,2517.252386474567
2039,Louisiana,119012263.22170019,5427002.443097435,753589498.4088478,2560.64002702123
2040,Louisiana,121073988.48310328,5455338.02091226,765095537.2026062,2604.0276675678924
2020,Maine,18224454.462797403,1149643.8239127174,160457698.13608074,1412.2936893582028
2021,Maine,18606114.562812567,1138454.80697833,163155383.39142323,1443.0837131320304
2022,Maine,18987774.66282773,1127265.7900439464,165853068.64676476,1473.8737369058563
2023,Maine,19369434.762842894,1116076.7731095627,168550753.90210629,1504.6637606796826
2024,Maine,19751094.862858057,1104887.756175179,171248439.15744781,1535.4537844535091
2025,Maine,20132754.96287322,1093698.7392407954,173946124.41278934,1566.2438082273352
2026,Maine,20514415.062888384,1082509.7223064117,176643809.66813183,1597.0338320011615
2027,Maine,20896075.162903547,1071320.705372028,179341494.92347336,1627.8238557749878
2028,Maine,21277735.26291871,1060131.6884376444,182039180.1788149,1658.613879548814
2029,Maine,21659395.362933874,1048942.6715032607,184736865.43415642,1689.4039033226402
2030,Maine,22041055.46294892,1037753.6545688771,187434550.68949795,1720.193927096457
2031,Maine,22422715.56296408,1026564.6376344934,190132235.94484043,1750.9839508702837
2032,Maine,22804375.662979245,1015375.620700106,192829921.20018196,1781.7739746441105
2033,Maine,23186035.76299441,1004186.6037657224,195527606.4555235,1812.5639984179368
2034,Maine,23567695.863009572,992997.5868313387,198225291.71086502,1843.3540221917633
2035,Maine,23949355.963024735,981808.569896955,200922976.96620655,1874.1440459655894
2036,Maine,24331016.0630399,970619.5529625714,203620662.22154903,1904.9340697394155
2037,Maine,24712676.163055062,959430.5360281877,206318347.47689056,1935.7240935132422
2038,Maine,25094336.263070226,948241.5190938041,209016032.7322321,1966.5141172870683
2039,Maine,25475996.36308539,937052.5021594204,211713717.98757362,1997.3041410608944
2040,Maine,25857656.463100553,925863.4852250367,214411403.24291515,2028.0941648347211
2020,Maryland,97095245.49174118,6181313.426769197,996840536.4449158,1637.8300723954108
2021,Maryland,99489748.44673443,6224592.247878462,1018566487.3465652,1675.0259378784594
2022,Maryland,101884251.40172768,6267871.068987727,1040292438.2482147,1712.2218033615063
2023,Maryland,104278754.35672092,6311149.890096977,1062018389.1498718,1749.417668844555
2024,Maryland,106673257.31171417,6354428.711206242,1083744340.0515213,1786.6135343276019
2025,Maryland,109067760.26670742,6397707.532315493,1105470290.9531708,1823.8093998106506
2026,Maryland,111462263.22170067,6440986.353424758,1127196241.8548203,1861.0052652936956
2027,Maryland,113856766.17669296,6484265.174534023,1148922192.7564774,1898.2011307767316
2028,Maryland,116251269.13168621,6527543.995643273,1170648143.6581268,1935.3969962597785
2029,Maryland,118645772.08667946,6570822.816752538,1192374094.5597763,1972.5928617428253
