,Year,state,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
1423,1999,Oklahoma,20700000.0,3358044.0,230700000.0,616.4302791
1424,2000,Oklahoma,22599999.999999996,3454365.0,248600000.0,654.244702
1426,2002,Oklahoma,25900000.0,3489080.0,248100000.0,742.316026
1428,2004,Oklahoma,28500000.0,3525233.0,261600000.0,808.4571999
1429,2005,Oklahoma,29300000.0,3548597.0,295700000.0,825.6784301
1430,2006,Oklahoma,31500000.0,3594090.0,338600000.0,876.4388204
1431,2007,Oklahoma,33900000.0,3634349.0,361200000.0,932.7667761
1432,2008,Oklahoma,35600000.0,3668976.0,372600000.0,970.2979796
1433,2009,Oklahoma,36300000.0,3717572.0,329099999.99999994,976.4437649
1434,2010,Oklahoma,37800000.0,3759944.0,318400000.0,1005.334122
1435,2011,Oklahoma,36900000.0,3788379.0,344500000.0,974.0313733
1436,2012,Oklahoma,37800000.0,3818814.0,376100000.0,989.8361114
1437,2013,Oklahoma,39700000.0,3853214.0,409600000.0,1030.308724
1438,2014,Oklahoma,40500000.0,3878187.0,433000000.0,1044.302402
1439,2015,Oklahoma,41600000.0,3909500.0,443100000.0,1064.07469
1440,2016,Oklahoma,43099999.99999999,3926331.0,421800000.0,1097.716927
1441,2017,Oklahoma,37300000.0,3931316.0,139800000.0,948.7917023
1446,1983,Oregon,8300000.0,2653066.0,92200000.0,313.1961286
1447,1984,Oregon,9100000.0,2666588.0,100700000.0,340.1312839
1448,1985,Oregon,9600000.0,2672652.0,108600000.0,360.1217068
1449,1986,Oregon,10200000.0,2683528.0,114600000.00000001,380.0966489
1450,1987,Oregon,10700000.0,2700991.0,125700000.0,396.1508942
1451,1988,Oregon,12000000.0,2741297.0,132500000.0,437.7489925
1452,1989,Oregon,13500000.0,2790575.0,149500000.0,483.7712658
1453,1990,Oregon,14800000.0,2858547.0,158400000.0,517.7455539
1454,1991,Oregon,16600000.0,2918745.0,170000000.0,568.737591
1455,1992,Oregon,17500000.0,2973934.0,179899999.99999997,588.4461457
1456,1993,Oregon,18300000.0,3034490.0,194400000.0,603.0667427
1457,1994,Oregon,19500000.0,3087142.0,212800000.0,631.6521883
1458,1995,Oregon,21000000.0,3141421.0,226600000.0,668.4872865
1459,1996,Oregon,23000000.0,3195087.0,241500000.0,719.8552027
1460,1997,Oregon,27000000.0,3243254.0,266200000.0,832.4972389
1461,1998,Oregon,27200000.000000004,3282055.0,277000000.0,828.7490612
1462,1999,Oregon,29300000.0,3316154.0,289000000.0,883.5536588
1463,2000,Oregon,33100000.0,3429708.0,318900000.0,965.0967371
1465,2002,Oregon,39400000.0,3513424.0,292400000.0,1121.413186
1467,2004,Oregon,39800000.0,3569463.0,312600000.0,1115.013659
1468,2005,Oregon,41700000.0,3613202.0,348200000.0,1154.100989
1469,2006,Oregon,44100000.0,3670883.0,392900000.0,1201.345834
1470,2007,Oregon,45100000.0,3722417.0,410900000.00000006,1211.578391
1471,2008,Oregon,48000000.0,3768748.0,403500000.0,1273.632517
1472,2009,Oregon,51200000.0,3808600.0,356900000.0,1344.325999
1473,2010,Oregon,52300000.00000001,3837491.0,364900000.0,1362.869646
1474,2011,Oregon,51200000.0,3872036.0,383500000.0,1322.301755
1475,2012,Oregon,52300000.00000001,3899001.0,406300000.0,1341.369238
1476,2013,Oregon,51600000.0,3922468.0,449900000.0,1315.498304
1477,2014,Oregon,55300000.0,3963244.0,485900000.00000006,1395.32161
1478,2015,Oregon,58200000.0,4015792.0,530300000.0,1449.278249
1479,2016,Oregon,71100000.0,4089976.0,551100000.0,1738.396509
1480,2017,Oregon,83200000.0,4143625.0,197100000.0,2007.903708
1485,1983,Pennsylvania,32599999.999999996,11837723.0,427600000.0,275.3907994
1486,1984,Pennsylvania,34300000.0,11815172.0,474500000.0,290.3047031
1487,1985,Pennsylvania,37200000.0,11770862.0,510500000.0,316.0346286
1488,1986,Pennsylvania,39200000.0,11782752.0,531599999.99999994,332.6896806
1489,1987,Pennsylvania,41700000.0,11810866.0,585600000.0,353.0647118
1490,1988,Pennsylvania,44800000.00000001,11845752.0,623300000.0,378.1946473
1491,1989,Pennsylvania,48200000.0,11865996.0,675000000.0,406.2027326
1492,1990,Pennsylvania,51700000.0,11895604.0,702000000.0,434.6143332
1493,1991,Pennsylvania,57800000.0,11943160.0,718000000.0,483.9590192
1494,1992,Pennsylvania,69700000.0,11980819.0,768300000.0,581.7632334
1495,1993,Pennsylvania,68300000.0,12022128.0,808800000.0,568.1190551
1496,1994,Pennsylvania,74200000.0,12042545.0,860200000.0,616.148829
1497,1995,Pennsylvania,83699999.99999999,12044780.0,910500000.0,694.9068393
1498,1996,Pennsylvania,88100000.0,12038008.0,952099999.9999999,731.848658
1499,1997,Pennsylvania,92899999.99999999,12015888.0,1015800000.0,773.1430253
1500,1998,Pennsylvania,99900000.0,12002329.0,1080800000.0,832.338457
1501,1999,Pennsylvania,107700000.0,11994016.0,1127500000.0,897.9477766
1502,2000,Pennsylvania,116500000.0,12284173.0,1203400000.0,948.3747909
1504,2002,Pennsylvania,128600000.0,12331031.0,1151400000.0,1042.897386
1506,2004,Pennsylvania,128900000.0,12410722.0,1204600000.0,1038.618059
1507,2005,Pennsylvania,125900000.0,12449990.0,1337200000.0,1011.245792
1508,2006,Pennsylvania,130000000.0,12510809.0,1458899999.9999998,1039.101468
1509,2007,Pennsylvania,131800000.0,12563937.0,1557400000.0,1049.034232
1510,2008,Pennsylvania,137100000.0,12612285.0,1565700000.0,1087.035379
1511,2009,Pennsylvania,140700000.0,12666858.0,1389500000.0,1110.772695
1512,2010,Pennsylvania,139300000.0,12711160.0,1407000000.0,1095.887393
1513,2011,Pennsylvania,138300000.0,12745815.0,1490600000.0,1085.062038
1514,2012,Pennsylvania,142400000.0,12767118.0,1547500000.0,1115.365269
1515,2013,Pennsylvania,144700000.0,12776309.0,1690400000.0,1132.564968
1516,2014,Pennsylvania,145200000.0,12788313.0,1769700000.0,1135.411684
1517,2015,Pennsylvania,151400000.0,12784826.0,1879199999.9999998,1184.216351
1518,2016,Pennsylvania,155100000.0,12782275.0,1892500000.0,1213.399023
1519,2017,Pennsylvania,144800000.0,12787641.0,661800000.0000001,1132.343331
1524,1983,Rhode Island,2800000.0000000005,956382.0,35500000.0,296.8688244
1525,1984,Rhode Island,3000000.0,961894.0,39600000.0,311.1361543
1526,1985,Rhode Island,3300000.0,968955.0,43200000.0,338.0549148
1527,1986,Rhode Island,3400000.0000000005,977341.0,46200000.0,350.3690114
1528,1987,Rhode Island,3700000.0,989604.0,52500000.0,376.4738219
1529,1988,Rhode Island,4200000.0,996408.0,56600000.0,417.349118
1530,1989,Rhode Island,4800000.0,1000666.0,60400000.0,477.6318972
1531,1990,Rhode Island,5400000.0,1004649.0,62400000.0,538.6557892
1532,1991,Rhode Island,5900000.0,1003990.0,63300000.0,592.5059015
1533,1992,Rhode Island,6500000.0,1000571.0,65700000.0,644.8817725
1534,1993,Rhode Island,6800000.000000001,997852.0,69100000.0,678.3971972
1535,1994,Rhode Island,7200000.0,993412.0,72900000.0,721.2214066
1536,1995,Rhode Island,7500000.0,989203.0,76600000.0,754.7490252
1537,1996,Rhode Island,7700000.0,987858.0,79700000.0,777.9761869
1538,1997,Rhode Island,8000000.0,986966.0,86400000.0,814.9520855
1539,1998,Rhode Island,8500000.0,987704.0,93200000.0,859.9134964
1540,1999,Rhode Island,9000000.0,990819.0,97000000.0,907.6329784
1541,2000,Rhode Island,9800000.0,1050268.0,106100000.0,928.5153885
1543,2002,Rhode Island,12000000.0,1065995.0,105100000.0,1125.708845
1545,2004,Rhode Island,12900000.0,1074579.0,113699999.99999999,1200.470138
1546,2005,Rhode Island,13400000.0,1067916.0,123900000.0,1254.780339
1547,2006,Rhode Island,12100000.0,1063096.0,133200000.0,1138.185075
1548,2007,Rhode Island,12600000.0,1057315.0,138000000.0,1191.697838
1549,2008,Rhode Island,12700000.0,1055003.0,136600000.0,1203.788046
1550,2009,Rhode Island,12400000.0,1053646.0,121500000.0,1176.865854
1551,2010,Rhode Island,13400000.0,1053959.0,123200000.0,1271.396705
1552,2011,Rhode Island,13100000.0,1053649.0,129300000.0,1243.29829
1553,2012,Rhode Island,13000000.0,1054621.0,134800000.0,1232.670315
1554,2013,Rhode Island,13400000.0,1055081.0,146200000.0,1270.04467
1555,2014,Rhode Island,13700000.000000002,1055936.0,153300000.0,1297.427117
1556,2015,Rhode Island,14200000.0,1056065.0,161700000.00000003,1344.614205
1557,2016,Rhode Island,15300000.0,1056770.0,163700000.0,1447.807943
1558,2017,Rhode Island,13700000.000000002,1055673.0,58800000.0,1297.750345
1563,1983,South Carolina,5900000.0,3234066.0,87000000.0,182.3865066
1564,1984,South Carolina,6500000.0,3271868.0,99000000.0,198.0581124
1565,1985,South Carolina,7800000.0,3303209.0,109600000.00000001,236.8303065
1566,1986,South Carolina,8800000.0,3342758.0,116700000.0,263.9556917
1567,1987,South Carolina,9200000.0,3380506.0,129600000.00000001,272.2373514
1568,1988,South Carolina,10000000.0,3412096.0,139700000.0,293.0749897
1569,1989,South Carolina,11299999.999999998,3456775.0,154100000.0,326.8942873
1570,1990,South Carolina,14100000.0,3499064.0,164000000.0,402.9649072
1571,1991,South Carolina,14600000.0,3559470.0,169100000.0,410.1734247
1572,1992,South Carolina,15300000.0,3600576.0,174300000.0,424.9320109
1573,1993,South Carolina,15700000.0,3634507.0,189100000.0,431.9705534
1574,1994,South Carolina,16200000.000000002,3666456.0,204300000.0,441.8435677
1575,1995,South Carolina,17700000.0,3699943.0,220100000.00000003,478.3857481
1576,1996,South Carolina,19000000.0,3738974.0,232800000.0,508.1607949
1577,1997,South Carolina,20700000.0,3790066.0,250300000.0,546.1646314
1578,1998,South Carolina,21900000.0,3839578.0,271700000.0,570.3751819
1579,1999,South Carolina,23100000.0,3885736.0,287000000.0,594.481972
1580,2000,South Carolina,24300000.0,4024223.0,304900000.0,603.8432761
1582,2002,South Carolina,27400000.000000004,4107795.0,295000000.0,667.0245229
1584,2004,South Carolina,28900000.0,4210921.0,314100000.0,686.310667
1585,2005,South Carolina,29100000.0,4270150.0,349300000.0,681.4748896
1586,2006,South Carolina,37300000.0,4357847.0,386900000.0,855.9272503
1587,2007,South Carolina,33100000.0,4444110.0,418400000.00000006,744.8060467
1588,2008,South Carolina,36000000.0,4528996.0,409300000.0,794.8781584
1589,2009,South Carolina,39400000.0,4589872.0,364900000.0,858.4117378
1590,2010,South Carolina,38200000.0,4635649.0,363300000.0,824.0485852
1591,2011,South Carolina,37200000.0,4671994.0,379799999.99999994,796.2338993
1592,2012,South Carolina,36900000.0,4717354.0,400200000.00000006,782.2181672
1593,2013,South Carolina,39900000.0,4764080.0,444600000.0,837.517422
1594,2014,South Carolina,39000000.0,4823617.0,471800000.0,808.5219038
1595,2015,South Carolina,41600000.0,4891938.0,510100000.0,850.3787252
1596,2016,South Carolina,43500000.0,4957968.0,519400000.0,877.37557
1597,2017,South Carolina,38500000.0,5021268.0,177500000.0,766.7386007
1602,1983,South Dakota,1400000.0000000002,693008.0,18300000.0,204.0669083
1603,1984,South Dakota,1600000.0,697249.0,19800000.0,227.2789204
1604,1985,South Dakota,1600000.0,698402.0,21000000.0,233.2753915
1605,1986,South Dakota,1800000.0,696034.0,22200000.000000004,258.3638156
1606,1987,South Dakota,1800000.0,696036.0,24300000.0,254.1678879
1607,1988,South Dakota,1800000.0,698165.0,26400000.0,261.9581331
1608,1989,South Dakota,2000000.0,696701.0,28100000.0,283.1200185
1609,1990,South Dakota,2200000.0,696667.0,30400000.0,317.3539151
1610,1991,South Dakota,2200000.0,701445.0,32200000.000000004,315.5771301
1611,1992,South Dakota,2800000.0000000005,708698.0,34300000.0,399.5495966
1612,1993,South Dakota,3200000.0,716258.0,37300000.0,444.3510579
1613,1994,South Dakota,3400000.0000000005,723038.0,40700000.0,465.2590874
1614,1995,South Dakota,3600000.0,728251.0,43000000.0,499.1548244
1615,1996,South Dakota,3900000.0,730699.0,45400000.0,539.1139169
1616,1997,South Dakota,4000000.0,730855.0,48200000.0,553.3655787
1617,1998,South Dakota,4000000.0,730789.0,52400000.0,545.6431337
1618,1999,South Dakota,4300000.0,733133.0,55199999.99999999,591.379736
1619,2000,South Dakota,4600000.0,755844.0,59200000.0,608.2868952
1621,2002,South Dakota,5300000.0,760020.0,57300000.00000001,692.9949212
1623,2004,South Dakota,6400000.0,770396.0,61100000.0,831.5982949
1624,2005,South Dakota,6800000.000000001,775493.0,67900000.0,875.8041659
1625,2006,South Dakota,7300000.0,783033.0,75700000.0,927.0873641
1626,2007,South Dakota,7400000.0,791623.0,82200000.0,935.6473978
1627,2008,South Dakota,7500000.0,799124.0,83600000.0,943.1827851
1628,2009,South Dakota,8500000.0,807067.0,75000000.0,1053.555653
1629,2010,South Dakota,8700000.0,816166.0,77200000.0,1064.758885
1630,2011,South Dakota,8400000.0,823579.0,82000000.0,1025.135415
1631,2012,South Dakota,8800000.0,833566.0,88500000.0,1052.142242
1632,2013,South Dakota,8900000.0,842316.0,97000000.0,1059.637951
1633,2014,South Dakota,9300000.0,849129.0,104200000.0,1095.758124
1634,2015,South Dakota,9400000.0,853988.0,110000000.0,1106.010857
1635,2016,South Dakota,9700000.0,862996.0,111300000.00000001,1127.351691
1636,2017,South Dakota,8300000.0,872868.0,37400000.0,945.6641783
1641,1983,Tennessee,9100000.0,4659749.0,129900000.0,195.4761941
1642,1984,Tennessee,9200000.0,4686737.0,145300000.0,196.0959192
1643,1985,Tennessee,10800000.0,4715296.0,162100000.0,229.0418247
1644,1986,Tennessee,11700000.0,4738708.0,173500000.0,246.9027423
1645,1987,Tennessee,13000000.0,4782927.0,193600000.0,271.8000923
1646,1988,Tennessee,14200000.0,4822437.0,208000000.0,294.4569312
1647,1989,Tennessee,16299999.999999998,4854444.0,224800000.0,335.7748076
1648,1990,Tennessee,17600000.0,4890626.0,233700000.0,359.8721309
1649,1991,Tennessee,19500000.0,4946886.0,243000000.0,394.1873736
1650,1992,Tennessee,21800000.0,5013999.0,262600000.00000003,434.7826954
1651,1993,Tennessee,23800000.0,5085666.0,288500000.0,467.9819713
1652,1994,Tennessee,26200000.0,5163016.0,314300000.0,507.4553323
1653,1995,Tennessee,28200000.0,5241168.0,335900000.00000006,538.0480076
1654,1996,Tennessee,31000000.0,5313576.0,359600000.0,583.411247
1655,1997,Tennessee,31700000.0,5378433.0,384400000.0,589.3909992
1656,1998,Tennessee,33200000.0,5432679.0,413300000.0,611.1165412
1657,1999,Tennessee,35100000.0,5483535.0,428900000.0,640.0980389
1658,2000,Tennessee,37100000.0,5703719.0,455400000.0,650.4528011
1660,2002,Tennessee,42100000.0,5795918.0,442200000.0,726.3732855
1662,2004,Tennessee,48700000.0,5910809.0,471800000.0,823.9142899
1663,2005,Tennessee,46100000.0,5991057.0,521599999.99999994,769.4802436
1664,2006,Tennessee,49700000.0,6088766.0,575500000.0,816.25735
1665,2007,Tennessee,51300000.0,6175727.0,613400000.0,830.6714335
1666,2008,Tennessee,54700000.0,6247411.0,604100000.0,875.5626931
1667,2009,Tennessee,60199999.99999999,6306019.0,530100000.0,954.6434922
1668,2010,Tennessee,59900000.0,6355311.0,536900000.0,942.5187847
1669,2011,Tennessee,60500000.0,6399291.0,565200000.0,945.4172345
1670,2012,Tennessee,59900000.0,6453898.0,595100000.0,928.1212687
1671,2013,Tennessee,61500000.0,6494340.0,648900000.0,946.9784458
1672,2014,Tennessee,64200000.0,6541223.0,682300000.0,981.4678387
1673,2015,Tennessee,64800000.00000001,6591170.0,733300000.0,983.1334953
1674,2016,Tennessee,67100000.0,6646010.0,746500000.0,1009.628333
1675,2017,Tennessee,61800000.0,6708799.0,230100000.00000003,921.1782914
1680,1983,Texas,32300000.0,15751676.0,588900000.0,205.0575444
1681,1984,Texas,35300000.0,16007086.0,642400000.0,220.527334
1682,1985,Texas,40000000.0,16272734.0,710400000.0000001,245.8099542
1683,1986,Texas,44700000.0,16561113.000000002,705699999.9999999,269.9093956
1684,1987,Texas,46600000.0,16621791.000000002,739400000.0,280.3548667
1685,1988,Texas,50800000.0,16667022.0,783800000.0,304.7935018
1686,1989,Texas,56600000.0,16806735.0,842800000.0,336.7697533
1687,1990,Texas,64000000.0,17044714.0,892099999.9999999,375.4829796
1688,1991,Texas,71700000.0,17339904.0,944400000.0,413.4970989
1689,1992,Texas,80800000.0,17650479.0,995600000.0,457.7779447
1690,1993,Texas,87800000.0,17996764.0,1070500000.0,487.8654852
1691,1994,Texas,99300000.0,18338319.0,1154900000.0,541.4891081
1692,1995,Texas,109600000.00000001,18679706.0,1231700000.0,586.7330032
1693,1996,Texas,110399999.99999999,19006240.0,1329300000.0,580.8618643
1694,1997,Texas,111400000.0,19355427.0,1467600000.0,575.5491728
1695,1998,Texas,119400000.0,19712389.0,1609600000.0,605.7104494
1696,1999,Texas,129500000.0,20044141.0,1703899999.9999998,646.0740822
1697,2000,Texas,134900000.0,20944499.0,1872100000.0,644.0832029
1699,2002,Texas,160000000.0,21690325.0,1839800000.0,737.6560748
1701,2004,Texas,175500000.0,22394023.0,1900600000.0,783.6912555
1702,2005,Texas,181300000.0,22778123.0,2172600000.0,795.9391562
1703,2006,Texas,225200000.0,23359580.0,2455300000.0,964.0584291
1704,2007,Texas,197500000.0,23831983.0,2653100000.0,828.7182816
1705,2008,Texas,211400000.0,24309039.0,2806100000.0,869.6353649
1706,2009,Texas,252800000.0,24801761.0,2470200000.0,1019.282461
1707,2010,Texas,248900000.0,25241971.0,2482600000.0,986.0561206
1708,2011,Texas,251600000.0,25645629.0,2686700000.0,981.0638686
1709,2012,Texas,248500000.0,26084481.0,2911700000.0,952.6737373
1710,2013,Texas,257100000.0,26480266.0,3262799999.9999995,970.911697
1711,2014,Texas,254700000.0,26964333.0,3549400000.0,944.581125
1712,2015,Texas,261800000.0,27470056.0,3717000000.0,953.0377368
1713,2016,Texas,276400000.0,27914410.0,3669800000.0,990.1695934
1714,2017,Texas,257500000.0,28295273.0,1183000000.0,910.0459996
1719,1983,Utah,4300000.0,1594943.0,45100000.0,272.5301155
1720,1984,Utah,4600000.0,1622342.0,51400000.0,286.4685744
1721,1985,Utah,4800000.0,1642910.0,56600000.0,293.3696916
1722,1986,Utah,5400000.0,1662834.0,58300000.0,326.075844
1723,1987,Utah,5500000.0,1678119.0,62699999.99999999,330.3996916
1724,1988,Utah,5699999.999999999,1689372.0,67000000.0,336.2077742
1725,1989,Utah,5800000.0,1705864.0,72500000.0,341.8736781
1726,1990,Utah,6600000.0,1729722.0,79000000.0,379.5754462
1727,1991,Utah,6899999.999999999,1771941.0,84500000.0,386.9429061
1728,1992,Utah,7600000.0,1821498.0,90100000.0,419.7424318
1729,1993,Utah,8600000.0,1875993.0,98800000.00000001,457.8375292
1730,1994,Utah,8600000.0,1930436.0,110500000.0,447.5465646
1731,1995,Utah,11000000.0,1976774.0,122500000.0,556.4621955
1732,1996,Utah,11700000.0,2022253.0,132800000.0,578.562623
1733,1997,Utah,12500000.0,2065397.0,145300000.0,605.2105237
1734,1998,Utah,12900000.0,2100562.0,155800000.0,614.1213637
1735,1999,Utah,15000000.0,2129836.0,163700000.0,704.2795783
1736,2000,Utah,15200000.0,2244502.0,179700000.0,677.2103567
1738,2002,Utah,17900000.0,2324815.0,172600000.00000003,769.9537383
1740,2004,Utah,20700000.0,2401580.0,183800000.0,861.9325611
1741,2005,Utah,20700000.0,2457719.0,214899999.99999997,842.2443737
1742,2006,Utah,21500000.0,2525507.0,247300000.0,851.3142114
1743,2007,Utah,22300000.0,2597746.0,270400000.0,858.4365061
1744,2008,Utah,24400000.0,2663029.0,269100000.0,916.2498794
1745,2009,Utah,25900000.0,2723421.0,235700000.0,951.0097778
1746,2010,Utah,24700000.000000004,2775332.0,232100000.0,889.9836128
1747,2011,Utah,24400000.0,2814384.0,246700000.00000003,866.974798
1748,2012,Utah,25600000.0,2853375.0,266300000.0,897.1831603
1749,2013,Utah,25700000.0,2897640.0,298300000.0,886.928673
1750,2014,Utah,26300000.0,2936879.0,316700000.0,895.5084632
1751,2015,Utah,26600000.0,2981835.0,340600000.0,892.0681392
1752,2016,Utah,26800000.0,3041868.0,352200000.0,881.037573
1753,2017,Utah,24600000.0,3101042.0,126500000.0,793.2817421
1758,1983,Vermont,1300000.0,523302.0,16500000.0,257.8052444
1759,1984,Vermont,1400000.0000000002,526660.0,18600000.0,263.0539627
1760,1985,Vermont,1500000.0,530035.0,20800000.0,289.4903167
1761,1986,Vermont,1500000.0,534066.0,22500000.0,285.9758906
1762,1987,Vermont,1600000.0,540267.0,26500000.0,303.2389541
1763,1988,Vermont,1800000.0,549763.0,28700000.0,320.9564849
1764,1989,Vermont,2100000.0,557707.0,30600000.0,374.8563314
1765,1990,Vermont,2400000.0,564526.0,31800000.0,417.4829857
1766,1991,Vermont,2500000.0,567141.0,32700000.0,440.7898565
1767,1992,Vermont,2700000.0,570115.0,34300000.0,469.0632592
1768,1993,Vermont,2800000.0000000005,574004.0,35900000.0,487.1394624
1769,1994,Vermont,3000000.0,578900.0,38600000.0,525.9112109
1770,1995,Vermont,3300000.0,582827.0,40100000.0,562.0535768
1771,1996,Vermont,3300000.0,586352.0,43300000.0,563.5522689
1772,1997,Vermont,3500000.0,588665.0,46500000.0,588.8068766
1773,1998,Vermont,3600000.0,590579.0,50100000.0,615.920986
1774,1999,Vermont,3600000.0,593740.0,52500000.0,604.3891266
1775,2000,Vermont,4400000.0,609618.0,56600000.0,718.7451814
1777,2002,Vermont,5300000.0,615442.0,55700000.0,861.4621687
1779,2004,Vermont,6800000.000000001,619920.0,59100000.0,1098.851465
1780,2005,Vermont,6500000.0,621215.0,67100000.0,1046.706857
1781,2006,Vermont,6000000.0,622892.0,73300000.0,957.9991395
1782,2007,Vermont,6300000.0,623481.0,78000000.0,1008.466978
1783,2008,Vermont,6600000.0,624151.0,76600000.0,1054.42433
1784,2009,Vermont,6899999.999999999,624817.0,69400000.0,1097.489345
1785,2010,Vermont,6899999.999999999,625879.0,69700000.0,1110.294482
1786,2011,Vermont,7300000.0,627049.0,74000000.0,1171.024912
1787,2012,Vermont,7600000.0,626090.0,76700000.0,1208.452459
1788,2013,Vermont,8700000.0,626210.0,83300000.0,1386.244231
1789,2014,Vermont,8000000.0,625214.0,89400000.0,1282.584843
1790,2015,Vermont,8400000.0,625216.0,93800000.00000001,1349.197717
1791,2016,Vermont,8500000.0,623657.0,93699999.99999999,1364.179349
1792,2017,Vermont,12000000.0,624344.0,37800000.0,1922.017349
1797,1983,Virginia,13700000.000000002,5564657.0,199700000.0,246.1966659
1798,1984,Virginia,14900000.0,5643870.0,224100000.0,264.003246
1799,1985,Virginia,16100000.000000002,5715153.0,249800000.0,281.7072439
1800,1986,Virginia,17000000.0,5811700.0,270100000.0,292.5133782
1801,1987,Virginia,19600000.0,5932268.0,307500000.0,330.3964015
1802,1988,Virginia,21900000.0,6036909.0,333800000.0,362.76843
1803,1989,Virginia,24800000.0,6120246.0,367800000.0,405.2124702
1804,1990,Virginia,28200000.0,6213526.0,380400000.0,453.8485877
1805,1991,Virginia,29300000.0,6283853.0,394700000.0,466.2744339
1806,1992,Virginia,31100000.0,6383315.0,407500000.0,487.2076656
1807,1993,Virginia,32400000.000000004,6464795.0,434700000.0,501.1759847
1808,1994,Virginia,34200000.0,6536771.0,468400000.00000006,523.1940969
1809,1995,Virginia,37000000.0,6601392.0,500400000.0,560.4878486
1810,1996,Virginia,39100000.0,6665491.0,527000000.0,586.6034475
1811,1997,Virginia,41100000.0,6732878.0,567400000.0,610.4373197
1812,1998,Virginia,44800000.00000001,6789225.0,625500000.0,659.8691309
1813,1999,Virginia,48400000.0,6872912.0,681600000.0,704.2138762
1814,2000,Virginia,51800000.0,7105817.0,744599999.9999999,728.9802144
1816,2002,Virginia,60100000.0,7286873.0,732800000.0,824.7707899
1818,2004,Virginia,69100000.0,7475575.0,790200000.0,924.3436124
1819,2005,Virginia,70700000.0,7577105.0,900500000.0,933.0740435
1820,2006,Virginia,80100000.0,7673725.0,995200000.0,1043.821612
1821,2007,Virginia,83900000.0,7751000.0,1057000000.0,1082.440975
1822,2008,Virginia,88400000.0,7833496.0,1052200000.0,1128.487204
1823,2009,Virginia,93600000.0,7925937.0,936700000.0,1180.932929
1824,2010,Virginia,92500000.0,8023699.0,951500000.0,1152.834871
1825,2011,Virginia,93300000.0,8101155.0,1000800000.0,1151.68763
1826,2012,Virginia,95600000.0,8185080.0,1038900000.0,1167.97881
1827,2013,Virginia,98400000.0,8252427.0,1135200000.0,1192.376497
1828,2014,Virginia,100100000.0,8310993.0,1184300000.0,1204.428881
1829,2015,Virginia,103400000.0,8361808.000000001,1263700000.0,1236.574674
1830,2016,Virginia,107000000.0,8410106.0,1271600000.0,1272.278851
1831,2017,Virginia,98699999.99999999,8463587.0,406700000.0,1166.172215
1836,1983,Washington,13400000.0,4300266.0,176100000.0,311.6086307
1837,1984,Washington,14500000.0,4343656.0,192500000.0,333.8201736
1838,1985,Washington,15400000.0,4400098.0,204800000.0,349.9922047
1839,1986,Washington,16000000.0,4452720.0,219300000.0,359.3309258
1840,1987,Washington,17100000.0,4531901.0,243600000.0,377.3251004
1841,1988,Washington,17800000.0,4639893.0,262600000.00000003,383.6295363
1842,1989,Washington,20800000.0,4746316.0,295600000.0,438.2346224
1843,1990,Washington,24000000.0,4900780.0,328900000.0,489.7179633
1844,1991,Washington,26300000.0,5013443.0,353800000.0,524.5895884
1845,1992,Washington,33500000.0,5139011.0,374600000.0,651.8764019
1846,1993,Washington,35900000.0,5247704.0,397800000.0,684.1087074
1847,1994,Washington,35900000.0,5334896.0,430900000.00000006,672.9278321
1848,1995,Washington,37800000.0,5431024.0,459300000.0,696.0013434
1849,1996,Washington,39600000.0,5509963.0,494300000.0,718.698111
1850,1997,Washington,43700000.0,5604105.0,538100000.0,779.7855322
1851,1998,Washington,45599999.99999999,5687832.0,595800000.0,801.711443
1852,1999,Washington,48200000.0,5756361.0,650600000.0,837.3345591
1853,2000,Washington,48800000.0,5910512.0,698700000.0,825.647592
1855,2002,Washington,59000000.0,6052349.0,636700000.0,974.8281205
1857,2004,Washington,63700000.0,6178645.0,660100000.0,1030.970383
1858,2005,Washington,69700000.0,6257305.0,738000000.0,1113.898076
1859,2006,Washington,71400000.0,6370753.0,823700000.0,1120.746637
1860,2007,Washington,70700000.0,6461587.0,904100000.0,1094.158447
1861,2008,Washington,76000000.0,6562231.0,899599999.9999999,1158.142711
1862,2009,Washington,81800000.0,6667426.0,785000000.0,1226.860261
1863,2010,Washington,79300000.0,6742830.0,785699999.9999999,1176.064056
1864,2011,Washington,79100000.0,6826627.0,841800000.0000001,1158.698139
1865,2012,Washington,76700000.0,6897058.0,891200000.0,1112.068363
1866,2013,Washington,75500000.0,6963985.0,994400000.0,1084.149377
1867,2014,Washington,79900000.0,7054655.0,1074700000.0,1132.585506
1868,2015,Washington,84000000.0,7163657.0,1167000000.0,1172.585455
1869,2016,Washington,91000000.0,7294771.0,1214200000.0,1247.468906
1870,2017,Washington,77500000.0,7423362.0,400800000.0,1044.001357
1875,1983,West Virginia,3400000.0000000005,1945061.0,55700000.0,175.2798498
1876,1984,West Virginia,3500000.0,1927697.0,60800000.0,183.6751315
1877,1985,West Virginia,3800000.0,1906831.0,64700000.0,201.1347623
1878,1986,West Virginia,3600000.0,1882350.0,64900000.0,193.7790528
1879,1987,West Virginia,4000000.0,1857585.0,67800000.0,217.5458996
1880,1988,West Virginia,4099999.9999999995,1830215.0,68800000.0,226.7110695
1881,1989,West Virginia,4300000.0,1806568.0,74100000.0,235.7840945
1882,1990,West Virginia,4400000.0,1792481.0,80000000.0,246.7362276
1883,1991,West Virginia,4900000.0,1798212.0,83600000.0,271.9645959
